num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,title,f_k_grade,artist,difficult_words,num_dupes,neg,neu,compound,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,Genre,Gender
157.5,0.28,1955,4,100.24,132,24,A Blossom Fell,0.5,Nat King Cole,13,15,0.087,0.634,0.9849,2dIhMS83JMFJvFNTmAWucX,0.28,0.278,7,-13.067,1,0.0374,0.733,7.12E-04,0.722,0.437,84.242,223440,3,spotify:track:2dIhMS83JMFJvFNTmAWucX,https://api.spotify.com/v1/audio-analysis/2dIhMS83JMFJvFNTmAWucX,soul,male
316.8,0.104,1955,5.2,88.74,250,31,The Ballad Of Davy Crockett,2.9,Tennessee Ernie Ford,37,12,0.088,0.808,0.7669,7sIthw4H8sP7EOm3H2GEfL,0.765,0.26,2,-11.789,1,0.0718,0.832,0,0.107,0.535,126.118,173093,4,spotify:track:7sIthw4H8sP7EOm3H2GEfL,https://api.spotify.com/v1/audio-analysis/7sIthw4H8sP7EOm3H2GEfL,swing,male
139.5,0.245,1955,4.4,99.23,116,18,Only You,0.9,Platters,3,8,0.029,0.726,0.9812,3ivuCzdONtlrYHyWdAZnZb,0.401,0.321,3,-10.614,1,0.0285,0.932,0,0.0977,0.285,80.861,160093,4,spotify:track:3ivuCzdONtlrYHyWdAZnZb,https://api.spotify.com/v1/audio-analysis/3ivuCzdONtlrYHyWdAZnZb,rock,Group
247.5,0.104,1956,4,91.78,193,35,Heartbreak Hotel,1.7,Elvis Presley,17,14,0.384,0.511,-0.9978,6xNwKNYZcvgV3XTIwsgNio,0.696,0.21,4,-11.922,1,0.067,0.84,1.62E-06,0.107,0.717,93.543,127560,4,spotify:track:6xNwKNYZcvgV3XTIwsgNio,https://api.spotify.com/v1/audio-analysis/6xNwKNYZcvgV3XTIwsgNio,rock,male
220.5,0.308,1956,4.4,107.69,193,30,Don't Be Cruel,-0.3,Elvis Presley,13,10,0.052,0.64,0.9958,01u6AEzGbGbQyYVdxajxqk,0.697,0.55,2,-11.496,1,0.18,0.856,3.44E-05,0.0907,0.844,84.802,122893,4,spotify:track:01u6AEzGbGbQyYVdxajxqk,https://api.spotify.com/v1/audio-analysis/01u6AEzGbGbQyYVdxajxqk,rock,male
128.7,0.081,1956,4,108.7,113,19,My Prayer,-0.7,Platters,11,7,0.028,0.89,0.7351,2C73yNV94L2aTIpdf6aeJB,0.389,0.277,10,-8.277,1,0.0279,0.844,0,0.0931,0.237,108.159,167800,3,spotify:track:2C73yNV94L2aTIpdf6aeJB,https://api.spotify.com/v1/audio-analysis/2C73yNV94L2aTIpdf6aeJB,rock,Group
236.7,0.202,1956,4.4,116.15,228,36,Hound Dog,-1.4,Elvis Presley,3,30,0.081,0.718,0.9751,64Ny7djQ6rNJspquof2KoX,0.357,0.756,0,-8.492,1,0.0621,0.733,0.00505,0.76,0.95,174.797,136027,4,spotify:track:64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/audio-analysis/64Ny7djQ6rNJspquof2KoX,rock,male
171.9,0.293,1956,4,83.32,125,21,Memories Are Made Of This,2.9,Dean Martin,14,7,0.041,0.667,0.9888,4h0igWYayzteBtSNpWYQ9h,0.611,0.179,4,-15.977,1,0.0488,0.918,0,0.109,0.556,133.073,138080,4,spotify:track:4h0igWYayzteBtSNpWYQ9h,https://api.spotify.com/v1/audio-analysis/4h0igWYayzteBtSNpWYQ9h,jazz,male
187.2,0.338,1956,4.8,98.21,161,22,The Great Pretender,1.3,Platters,12,12,0.061,0.602,0.9953,0SIUJSRBl0sxb8J7UIyOpG,0.537,0.382,7,-9.461,1,0.0281,0.942,0,0.0839,0.543,77.466,160667,4,spotify:track:0SIUJSRBl0sxb8J7UIyOpG,https://api.spotify.com/v1/audio-analysis/0SIUJSRBl0sxb8J7UIyOpG,rock,Group
120.6,0.036,1956,4.4,107.69,111,16,I Almost Lost My Mind,-0.3,Pat Boone,6,6,0.186,0.779,-0.9476,0IVsGFup5RthDZBGaJP270,0.353,0.164,0,-13.332,1,0.0369,0.899,0,0.0772,0.125,175.632,158227,3,spotify:track:0IVsGFup5RthDZBGaJP270,https://api.spotify.com/v1/audio-analysis/0IVsGFup5RthDZBGaJP270,rock,male
